Freq.	V(out)/(V(inP)-V(inN))	V(out)/V(out1)	V(out1)/(V(inP)-V(inN))
8.91250938133738e+07	(2.04169180314794e+00dB,-9.76695804890652e+01°)	(1.95278007703726e+01dB,1.42675620048984e+02°)	(-1.74861089672246e+01dB,1.19654799461951e+02°)
9.99999999999992e+07	(9.25228411588949e-01dB,-9.78908310195438e+01°)	(1.91629437473719e+01dB,1.40263184255859e+02°)	(-1.82377153357829e+01dB,1.21845984724597e+02°)
1.12201845430195e+08	(-1.95530740576819e-01dB,-9.79984429182612e+01°)	(1.87525904398103e+01dB,1.37756763093067e+02°)	(-1.89481211803871e+01dB,1.24244793988672e+02°)
1.25892541179416e+08	(-1.31512028952949e+00dB,-9.79657878364067e+01°)	(1.82954117422437e+01dB,1.35197398991318e+02°)	(-1.96105320317732e+01dB,1.26836813172275e+02°)
1.41253754462274e+08	(-2.42585469705722e+00dB,-9.77719878192907e+01°)	(1.77916537084074e+01dB,1.32625774444509e+02°)	(-2.02175084054646e+01dB,1.29602237736200e+02°)
1.58489319246110e+08	(-3.51781121280341e+00dB,-9.74071358642357e+01°)	(1.72430475029630e+01dB,1.30079061729697e+02°)	(-2.07608587157664e+01dB,1.32513802406068e+02°)
1.77827941003891e+08	(-4.57909025826334e+00dB,-9.68778486055410e+01°)	(1.66525409367462e+01dB,1.27588133849208e+02°)	(-2.12316311950096e+01dB,1.35534017545251e+02°)
1.99526231496886e+08	(-5.59637287531147e+00dB,-9.62123784368850e+01°)	(1.60238856667698e+01dB,1.25175634653584e+02°)	(-2.16202585420813e+01dB,1.38611986909531e+02°)
2.23872113856832e+08	(-6.55573599939005e+00dB,-9.54644913733667e+01°)	(1.53611473257019e+01dB,1.22855256972251e+02°)	(-2.19168833250920e+01dB,1.41680251654382e+02°)
2.51188643150956e+08	(-7.44362984609975e+00dB,-9.47155218693195e+01°)	(1.46682242330008e+01dB,1.20632338294066e+02°)	(-2.21118540791006e+01dB,1.44652139836615e+02°)
2.81838293126443e+08	(-8.24788812572937e+00dB,-9.40744268729229e+01°)	(1.39484594901799e+01dB,1.18505613077761e+02°)	(-2.21963476159093e+01dB,1.47419960049316e+02°)
3.16227766016835e+08	(-8.95864926962729e+00dB,-9.36761885755221e+01°)	(1.32044111344444e+01dB,1.16469719923757e+02°)	(-2.21630604040717e+01dB,1.49854091500721e+02°)
3.54813389233572e+08	(-9.56912681691388e+00dB,-9.36794072415843e+01°)	(1.24378091724208e+01dB,1.14517909227522e+02°)	(-2.20069359893347e+01dB,1.51802683530894e+02°)
3.98107170553493e+08	(-1.00762818052442e+01dB,-9.42641931028177e+01°)	(1.16496846771091e+01dB,1.12644379022508e+02°)	(-2.17259664823533e+01dB,1.53091427874674e+02°)
4.46683592150959e+08	(-1.04816137562946e+01dB,-9.56312860237098e+01°)	(1.08406166621624e+01dB,1.10845800793810e+02°)	(-2.13222304184570e+01dB,1.53522913182481e+02°)
5.01187233627267e+08	(-1.07924860341832e+01dB,-9.80023845438557e+01°)	(1.00110199748672e+01dB,1.09121847602110e+02°)	(-2.08035060090503e+01dB,1.52875767854035e+02°)
5.62341325190344e+08	(-1.10245934393506e+01dB,-1.01619361226653e+02°)	(9.16139939454278e+00dB,1.07474817686899e+02°)	(-2.01859928338934e+01dB,1.50905821086448e+02°)
6.30957344480187e+08	(-1.12062004284967e+01dB,-1.06735353008584e+02°)	(8.29251881694161e+00dB,1.05908658010957e+02°)	(-1.94987192454383e+01dB,1.47355988980459e+02°)
7.07945784384131e+08	(-1.13841015291363e+01dB,-1.13582896366813e+02°)	(7.40546832177889e+00dB,1.04427770504603e+02°)	(-1.87895698509152e+01dB,1.41989333128584e+02°)
7.94328234724274e+08	(-1.16287441218844e+01dB,-1.22297257507674e+02°)	(6.50164217668180e+00dB,1.03035931222938e+02°)	(-1.81303862985662e+01dB,1.34666811269388e+02°)
8.91250938133737e+08	(-1.20308733160194e+01dB,-1.32786251537100e+02°)	(5.58265833237013e+00dB,1.01735522651804e+02°)	(-1.76135316483895e+01dB,1.25478225811097e+02°)
9.99999999999990e+08	(-1.26790903838154e+01dB,-1.44604174319871e+02°)	(4.65025323322454e+00dB,1.00527139163652e+02°)	(-1.73293436170400e+01dB,1.14868686516477e+02°)
1.12201845430195e+09	(-1.36204688808447e+01dB,-1.56976296464107e+02°)	(3.70617905914983e+00dB,9.94095219803967e+01°)	(-1.73266479399945e+01dB,1.03614181555496e+02°)
1.25892541179415e+09	(-1.48336790401341e+01dB,-1.69054430175195e+02°)	(2.75211982941157e+00dB,9.83797283880183e+01°)	(-1.75857988695456e+01dB,9.25658414367867e+01°)
1.41253754462274e+09	(-1.62428898354996e+01dB,1.79774212850897e+02°)	(1.78963281065982e+00dB,9.74334320094738e+01°)	(-1.80325226461594e+01dB,8.23407808414228e+01°)
1.58489319246110e+09	(-1.77576512653100e+01dB,1.69772993121775e+02°)	(8.20114654688745e-01dB,9.65652686704835e+01°)	(-1.85777659199988e+01dB,7.32077244512911e+01°)
1.77827941003890e+09	(-1.93036166043937e+01dB,1.60943353432972e+02°)	(-1.55212061422577e-01dB,9.57691693944162e+01°)	(-1.91484045429711e+01dB,6.51741840385560e+01°)
1.99526231496886e+09	(-2.08319210917371e+01dB,1.53163120475146e+02°)	(-1.13529744689496e+00dB,9.50386476639918e+01°)	(-1.96966236448421e+01dB,5.81244728111544e+01°)
2.23872113856832e+09	(-2.23156424139755e+01dB,1.46281172063696e+02°)	(-2.11925330956473e+00dB,9.43670274762928e+01°)	(-2.01963891044108e+01dB,5.19141445874030e+01°)
2.51188643150955e+09	(-2.37429462388335e+01dB,1.40160049455088e+02°)	(-3.10633681594601e+00dB,9.37476113899008e+01°)	(-2.06366094228875e+01dB,4.64124380651873e+01°)
2.81838293126442e+09	(-2.51112102303844e+01dB,1.34687497460948e+02°)	(-4.09593188014042e+00dB,9.31737945904532e+01°)	(-2.10152783502440e+01dB,4.15137028704949e+01°)
3.16227766016834e+09	(-2.64229694427390e+01dB,1.29774829036036e+02°)	(-5.08753031668116e+00dB,9.26391338767327e+01°)	(-2.13354391260578e+01dB,3.71356951593038e+01°)
3.54813389233572e+09	(-2.76833578155719e+01dB,1.25351564529662e+02°)	(-6.08071396886193e+00dB,9.21373808923070e+01°)	(-2.16026438467100e+01dB,3.32141836373545e+01°)
3.98107170553493e+09	(-2.88985643315803e+01dB,1.21360185427330e+02°)	(-7.07513842952519e+00dB,9.16624880096080e+01°)	(-2.18234259020551e+01dB,2.96976974177223e+01°)
4.46683592150958e+09	(-3.00749340710001e+01dB,1.17752126091468e+02°)	(-8.07051857137133e+00dB,9.12085938955831e+01°)	(-2.20044154996288e+01dB,2.65435321958852e+01°)
5.01187233627267e+09	(-3.12184709358973e+01dB,1.14485044823481e+02°)	(-9.06661585002478e+00dB,9.07699942460865e+01°)	(-2.21518550858725e+01dB,2.37150505773950e+01°)
5.62341325190343e+09	(-3.23345883967994e+01dB,1.11521084704147e+02°)	(-1.00632271931388e+01dB,9.03411018342311e+01°)	(-2.22713612036606e+01dB,2.11799828699157e+01°)
6.30957344480186e+09	(-3.34280111007861e+01dB,1.08825803258321e+02°)	(-1.10601752063172e+01dB,8.99163988711084e+01°)	(-2.23678358944689e+01dB,1.89094043872124e+01°)
7.07945784384130e+09	(-3.45027652453218e+01dB,1.06367514971700e+02°)	(-1.20572993853996e+01dB,8.94903837717017e+01°)	(-2.24454658599221e+01dB,1.68771311999983e+01°)
7.94328234724272e+09	(-3.55622178849192e+01dB,1.04116870101923e+02°)	(-1.30544480058278e+01dB,8.90575137669812e+01°)	(-2.25077698790914e+01dB,1.50593563349422e+01°)
8.91250938133735e+09	(-3.66091398615868e+01dB,1.02046558867531e+02°)	(-1.40514703499863e+01dB,8.86121443076565e+01°)	(-2.25576695116005e+01dB,1.34344145598744e+01°)
9.99999999999988e+09	(-3.76457766673533e+01dB,1.00131076647899e+02°)	(-1.50482089244015e+01dB,8.81484659240861e+01°)	(-2.25975677429518e+01dB,1.19826107238133e+01°)
1.12201845430195e+10	(-3.86739178989439e+01dB,9.83465158138167e+01°)	(-1.60444913045305e+01dB,8.76604390487035e+01°)	(-2.26294265944134e+01dB,1.06860767651133e+01°)
1.25892541179415e+10	(-3.96949600824420e+01dB,9.66703677428969e+01°)	(-1.70401212224556e+01dB,8.71417273153459e+01°)	(-2.26548388599864e+01dB,9.52864042755098e+00°)
1.41253754462274e+10	(-4.07099602304324e+01dB,9.50813287311255e+01°)	(-1.80348684802661e+01dB,8.65856300036383e+01°)	(-2.26750917501663e+01dB,8.49569872748716e+00°)
1.58489319246109e+10	(-4.17196790369361e+01dB,9.35591089082887e+01°)	(-1.90284572291169e+01dB,8.59850146336463e+01°)	(-2.26912218078192e+01dB,7.57409427464238e+00°)
1.77827941003890e+10	(-4.27246134683657e+01dB,9.20842460771020e+01°)	(-2.00205521024222e+01dB,8.53322512529170e+01°)	(-2.27040613659434e+01dB,6.75199482418498e+00°)
